Date,Price,Open,High,Low,Vol.,Change %
19-Nov-17,8487.70,8355.00,8534.00,8355.00,69.00K,1.76%
12-Nov-17,8340.70,8192.50,8359.00,8083.55,60.71K,2.15%
5-Nov-17,8164.95,8239.50,8370.45,8108.10,84.91K,-0.63%
29-Oct-17,8216.40,8205.00,8282.85,8169.00,123.64K,1.25%
22-Oct-17,8114.80,7750.00,8242.40,7717.60,144.85K,4.89%
15-Oct-17,7736.35,7885.00,7935.00,7690.05,69.47K,-1.73%
8-Oct-17,7872.20,7935.50,7958.90,7805.00,83.77K,-0.48%
1-Oct-17,7909.85,8050.00,8065.00,7810.00,84.15K,-0.79%
24-Sep-17,7973.15,8060.00,8089.95,7651.40,287.77K,-1.26%
17-Sep-17,8074.55,8158.00,8199.00,8050.00,58.81K,-0.17%
10-Sep-17,8088.20,7990.00,8200.00,7970.35,114.35K,1.45%
3-Sep-17,7972.80,7870.00,7987.00,7763.00,104.12K,2.05%
27-Aug-17,7812.70,7625.00,7838.65,7501.00,114.36K,2.77%
20-Aug-17,7601.95,7620.05,7659.40,7488.00,63.23K,-0.24%
13-Aug-17,7620.05,7588.00,7811.00,7522.50,97.63K,2.24%
6-Aug-17,7452.85,7779.00,7893.60,7377.75,126.21K,-4.19%
30-Jul-17,7778.70,7640.00,7920.00,7640.00,195.26K,2.06%
23-Jul-17,7621.95,7545.15,7679.00,7496.10,225.75K,1.25%
16-Jul-17,7527.60,7551.00,7589.30,7447.65,72.00K,-0.39%
9-Jul-17,7556.80,7474.00,7586.35,7400.25,175.09K,1.72%
2-Jul-17,7429.25,7240.50,7490.00,7218.05,116.48K,2.93%
25-Jun-17,7217.90,7237.20,7322.45,7155.00,99.53K,-0.27%
18-Jun-17,7237.20,7319.00,7348.45,7155.00,110.77K,-0.40%
11-Jun-17,7266.40,7440.00,7455.50,7255.70,170.30K,-2.48%
4-Jun-17,7451.00,7123.00,7469.00,7087.55,232.87K,4.73%
