Date,Price,Open,High,Low,Vol.,Change %
9-Jul-13,130.81,129.98,131.77,129.2,124.03K,1.43%
8-Jul-13,128.97,132,132,127.77,1.20M,-2.23%
5-Jul-13,131.91,134.21,134.21,131.22,1.10M,-0.31%
4-Jul-13,132.32,134.21,134.99,131.68,96.86K,-0.17%
3-Jul-13,132.55,133.29,133.93,132,52.86K,-1.07%
2-Jul-13,133.98,135.68,136.23,133.47,55.02K,-1.32%
1-Jul-13,135.77,131.45,136.27,131.27,109.26K,2.79%
28-Jun-13,132.09,129.15,133.06,128.55,1.23M,2.31%
27-Jun-13,129.11,130.58,131.45,127.31,299.07K,-0.52%
26-Jun-13,129.79,127.96,130.35,127.96,220.84K,2.13%
25-Jun-13,127.08,130.62,132.37,126.53,145.59K,-2.61%
24-Jun-13,130.48,130.81,133.75,129.24,203.86K,-0.77%
21-Jun-13,131.49,128.69,132.18,126.99,181.22K,2.10%
20-Jun-13,128.78,132,132,127.77,206.94K,-3.35%
19-Jun-13,133.24,135.13,135.13,132.23,149.46K,-1.40%
18-Jun-13,135.13,138.25,138.66,134.85,126.09K,-2.19%
17-Jun-13,138.16,139.54,139.54,137.33,67.94K,-0.85%
14-Jun-13,139.35,138.25,139.72,137.79,84.74K,1.24%
13-Jun-13,137.65,137.75,138.34,136.05,236.64K,-0.93%
12-Jun-13,138.94,138.07,139.81,136.83,349.40K,0.56%
11-Jun-13,138.16,137.88,139.81,137.52,337.76K,0.00%
10-Jun-13,138.16,137.42,139.68,136.69,118.64K,1.55%
7-Jun-13,136.05,140,140,134.57,124.02K,-2.12%
6-Jun-13,138.99,141.1,141.1,138.44,97.18K,-1.85%
5-Jun-13,141.61,141.1,142.57,140.64,83.61K,0.07%
4-Jun-13,141.51,139.49,142.94,139.49,276.55K,1.11%
3-Jun-13,139.95,142.48,142.48,138.76,160.19K,-1.40%
31-May-13,141.93,142.71,144.23,140.55,316.14K,-1.50%
30-May-13,144.09,141.56,144.59,140.64,220.07K,1.62%
29-May-13,141.79,142.48,142.48,140.64,231.13K,-0.45%
28-May-13,142.43,139.72,143.4,139.72,682.13K,1.61%
27-May-13,140.18,139.03,140.55,138.57,105.93K,1.50%
24-May-13,138.11,137.52,139.72,137.19,2.67M,1.08%
23-May-13,136.64,141.61,142.39,136.18,140.59K,-3.88%
22-May-13,142.16,141.28,143.08,139.86,146.22K,1.48%
21-May-13,140.09,145.47,146.16,139.49,225.70K,-4.21%
20-May-13,146.25,146.16,147.86,145.88,149.70K,-0.44%
17-May-13,146.89,143.86,147.9,143.86,238.56K,2.24%
16-May-13,143.67,144.32,146.06,143.22,180.31K,-0.51%
15-May-13,144.41,141.56,144.96,141.56,217.99K,2.14%
14-May-13,141.38,140.64,142.39,140.5,84.27K,-0.06%
13-May-13,141.47,140.73,143.12,140.46,183.96K,-0.16%
11-May-13,141.7,142.57,142.57,141.19,42.72K,-0.65%
10-May-13,142.62,143.86,147.26,141.1,816.48K,-0.83%
