"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2017","158.45","157.10","159.60","155.00","4.35M","0.38%"
"Jun 18, 2017","157.85","160.60","161.60","157.30","3.72M","-1.50%"
"Jun 11, 2017","160.25","157.90","162.45","156.00","2.46M","1.49%"
"Jun 04, 2017","157.90","162.00","163.10","156.60","6.73M","-2.74%"
"May 28, 2017","162.35","156.00","163.50","153.30","3.94M","3.97%"
"May 21, 2017","156.15","159.00","160.20","155.00","523.33K","-1.61%"
"May 14, 2017","158.70","160.00","161.80","157.50","1.74M","-0.03%"
"May 07, 2017","158.75","160.00","163.00","158.15","1.33M","-0.81%"
"Apr 30, 2017","160.05","164.00","165.45","159.80","449.45K","-2.65%"
"Apr 23, 2017","164.40","167.00","168.00","163.55","651.92K","-1.59%"
"Apr 16, 2017","167.05","164.10","167.35","158.40","1.18M","1.49%"
"Apr 09, 2017","164.60","168.95","168.95","163.35","594.98K","-1.85%"
"Apr 02, 2017","167.70","166.45","169.00","164.25","607.72K","1.05%"
"Mar 26, 2017","165.95","164.15","166.80","162.45","1.02M","1.10%"
"Mar 19, 2017","164.15","160.25","165.40","159.50","705.84K","2.53%"
"Mar 12, 2017","160.10","160.00","162.05","158.10","3.31M","1.94%"
"Mar 05, 2017","157.05","156.05","160.00","155.55","906.18K","0.80%"
"Feb 26, 2017","155.80","165.60","166.70","154.80","3.17M","-5.75%"
"Feb 19, 2017","165.30","169.90","174.15","164.20","1.66M","-2.54%"
"Feb 12, 2017","169.60","172.10","173.00","168.35","1.94M","-0.47%"
"Feb 05, 2017","170.40","171.15","175.55","167.15","2.48M","-0.90%"
"Jan 29, 2017","171.95","176.85","177.65","169.35","2.02M","-2.77%"
"Jan 22, 2017","176.85","170.80","177.80","169.30","1.10M","3.72%"
"Jan 15, 2017","170.50","170.60","176.30","169.10","4.71M","-0.32%"
"Jan 08, 2017","171.05","164.35","175.00","161.30","2.62M","4.36%"
"Jan 01, 2017","163.90","165.00","167.50","163.00","1.09M","-0.49%"
"Dec 25, 2016","164.70","161.00","165.25","158.10","2.05M","2.20%"
"Dec 18, 2016","161.15","159.95","164.80","158.10","1.06M","0.75%"
"Dec 11, 2016","159.95","164.70","167.75","159.25","1.01M","-2.53%"
"Dec 04, 2016","164.10","161.15","165.80","160.60","2.52M","1.83%"
"Nov 27, 2016","161.15","160.00","165.20","159.70","828.33K","-0.19%"
"Nov 20, 2016","161.45","159.00","162.20","151.15","1.10M","1.80%"
"Nov 13, 2016","158.60","152.20","159.75","149.05","1.04M","4.31%"
"Nov 06, 2016","152.05","154.00","157.00","146.00","946.91K","-0.88%"
"Oct 30, 2016","153.40","151.00","157.85","150.70","951.60K","0.76%"
"Oct 23, 2016","152.25","150.00","155.00","149.60","741.81K","1.87%"
"Oct 16, 2016","149.45","147.00","150.30","146.40","733.29K","3.14%"
"Oct 09, 2016","144.90","148.25","149.50","143.45","503.93K","-2.33%"
"Oct 02, 2016","148.35","148.50","153.75","147.70","3.72M","-0.10%"
"Sep 25, 2016","148.50","156.90","157.00","147.85","3.64M","-5.35%"
"Sep 18, 2016","156.90","152.00","158.00","152.00","1.14M","2.21%"
"Sep 11, 2016","153.50","157.90","158.00","152.40","677.80K","-3.31%"
"Sep 04, 2016","158.75","160.00","163.95","158.35","1.28M","-0.63%"
"Aug 28, 2016","159.75","158.00","164.95","156.85","1.45M","1.11%"
"Aug 21, 2016","158.00","168.00","168.80","157.15","2.65M","-5.25%"
"Aug 14, 2016","166.75","160.25","169.95","159.70","1.90M","4.06%"
"Aug 07, 2016","160.25","161.45","162.30","156.50","6.40M","-0.65%"
"Jul 31, 2016","161.30","159.00","162.20","156.65","1.87M","1.80%"
"Jul 24, 2016","158.45","156.60","160.25","156.20","965.23K","1.21%"
"Jul 17, 2016","156.55","156.00","158.15","154.05","10.16M","0.13%"
"Jul 10, 2016","156.35","154.50","159.90","139.70","3.74M","1.96%"
"Jul 03, 2016","153.35","156.40","157.95","150.20","1.22M","-1.82%"
"Jun 26, 2016","156.20","149.10","157.55","147.05","1.92M","4.76%"
"Jun 19, 2016","149.10","152.00","154.70","144.00","1.17M","-2.07%"
"Jun 12, 2016","152.25","150.95","154.90","147.15","846.61K","0.73%"
"Jun 05, 2016","151.15","147.60","152.45","146.50","1.04M","2.27%"
"May 29, 2016","147.80","140.00","148.95","137.70","2.29M","5.65%"
"May 22, 2016","139.90","137.15","142.00","135.45","1.46M","2.27%"
"May 15, 2016","136.80","140.15","141.55","133.50","671.51K","-3.01%"
"May 08, 2016","141.05","139.90","144.70","139.50","1.03M","0.71%"
"May 01, 2016","140.05","139.30","141.40","134.80","728.25K","0.90%"
"Apr 24, 2016","138.80","144.00","144.00","136.10","1.69M","-3.04%"
"Apr 17, 2016","143.15","138.45","143.85","136.05","787.37K","4.37%"
"Apr 10, 2016","137.15","132.00","137.80","131.50","933.65K","4.26%"
"Apr 03, 2016","131.55","130.00","132.40","125.05","907.11K","1.23%"
"Mar 27, 2016","129.95","127.30","131.80","126.90","772.62K","2.04%"
"Mar 20, 2016","127.35","127.00","129.10","126.50","1.05M","-0.04%"
"Mar 13, 2016","127.40","127.00","128.35","126.00","449.88K","0.87%"
"Mar 06, 2016","126.30","127.00","128.70","124.55","696.64K","0.32%"
"Feb 28, 2016","125.90","121.35","128.75","117.75","2.03M","3.75%"
"Feb 21, 2016","121.35","129.80","130.60","116.80","5.85M","-6.29%"
"Feb 14, 2016","129.50","125.00","130.80","123.50","1.14M","4.39%"
"Feb 07, 2016","124.05","124.30","126.40","120.05","2.68M","-0.52%"
"Jan 31, 2016","124.70","140.40","143.95","124.00","1.38M","-12.31%"
"Jan 24, 2016","142.20","139.00","146.55","136.40","978.93K","3.08%"
"Jan 17, 2016","137.95","136.60","139.00","131.00","856.80K","0.99%"
"Jan 10, 2016","136.60","139.40","146.90","135.80","1.15M","-2.15%"
"Jan 03, 2016","139.60","143.90","146.95","137.05","852.02K","-3.32%"
"Dec 27, 2015","144.40","139.00","148.90","139.00","1.16M","3.85%"
"Dec 20, 2015","139.05","136.00","139.85","135.15","593.16K","2.06%"
"Dec 13, 2015","136.25","132.00","138.00","130.50","7.69M","2.68%"
"Dec 06, 2015","132.70","130.50","133.90","128.25","3.10M","1.45%"
"Nov 29, 2015","130.80","133.00","134.90","130.15","804.40K","-1.36%"
"Nov 22, 2015","132.60","135.00","135.00","130.65","428.60K","-1.12%"
"Nov 15, 2015","134.10","131.00","135.00","130.00","735.06K","2.64%"
"Nov 08, 2015","130.65","133.95","134.80","127.30","604.33K","-3.40%"
"Nov 01, 2015","135.25","133.00","139.45","129.75","1.56M","1.92%"
"Oct 25, 2015","132.70","133.00","137.55","127.30","2.24M","0.23%"
"Oct 18, 2015","132.40","127.00","133.95","126.00","864.00K","4.58%"
"Oct 11, 2015","126.60","125.85","128.40","124.60","714.29K","0.60%"
"Oct 04, 2015","125.85","123.50","130.00","123.50","1.32M","1.74%"
"Sep 27, 2015","123.70","122.00","125.80","118.90","758.84K","1.44%"
"Sep 20, 2015","121.95","125.85","127.75","119.40","976.83K","-4.01%"
"Sep 13, 2015","127.05","121.60","130.00","119.80","797.58K","6.32%"
"Sep 06, 2015","119.50","115.80","121.30","111.80","912.98K","4.41%"
"Aug 30, 2015","114.45","123.00","123.35","113.20","1.10M","-5.88%"
"Aug 23, 2015","121.60","122.00","125.00","107.20","2.10M","-1.50%"
