Date,Actual,Predicted
2018-10-22,165.0,168.37644634067348
2018-10-23,165.3,165.5852757646602
2018-10-24,163.35,164.1129098323555
2018-10-25,161.85,163.7964309230802
2018-10-26,159.3,163.40019645841863
2018-10-29,159.15,163.40805567546613
2018-10-30,159.75,163.6879474030568
2018-10-31,159.8,163.15700740181762
2018-11-01,156.85,163.51503273940716
2018-11-02,157.9,163.23447015482375
2018-11-05,153.6,162.45927451928372
2018-11-06,154.0,162.9711936018145
2018-11-07,155.0,162.91180832179666
2018-11-09,154.3,163.1665862206502
2018-11-12,152.8,163.39003255038605
2018-11-13,156.4,165.36306542524446
2018-11-14,157.3,164.14455135438754
2018-11-15,153.9,163.5990580023369
2018-11-16,154.05,163.1006859851285
2018-11-19,153.05,163.0417422818654
2018-11-20,149.35,163.64956079609684
2018-11-21,147.85,162.84687615839104
2018-11-22,146.1,162.97606708065138
2018-11-26,144.45,162.4045945792616
2018-11-27,145.6,161.84250048879267
2018-11-28,143.5,162.46698258121134
2018-11-29,142.3,162.21359395076297
2018-11-30,139.95,162.67598595432443
2018-12-03,145.1,165.52702414804145
2018-12-04,143.05,162.73098518830764
2018-12-05,140.9,162.72251965240852
2018-12-06,139.15,162.62800014806626
2018-12-07,137.85,162.03357414729305
2018-12-10,136.3,162.32399917885533
2018-12-11,137.6,161.83700710412705
2018-12-12,140.8,163.53288432890173
2018-12-13,141.05,161.77576380499528
2018-12-14,143.65,163.24161180964487
2018-12-17,146.05,164.4063095627095
2018-12-18,147.8,162.27935831651396
2018-12-19,149.8,162.53632711541965
2018-12-20,149.1,162.456159704791
2018-12-21,150.7,162.53992256922612
2018-12-24,146.85,163.45902382319062
2018-12-26,145.55,162.44889237043202
2018-12-27,148.0,163.25849872376764
2018-12-28,149.35,162.582533027682
2018-12-31,148.65,162.5980179356086
2019-01-01,148.3,162.4446014332369
2019-01-02,146.6,162.98994872528405
2019-01-03,143.4,163.15634333831343
2019-01-04,145.65,163.06657757757267
2019-01-07,148.4,163.65028515181174
2019-01-08,146.95,162.60204392675092
2019-01-09,146.15,161.97955657240297
2019-01-10,147.75,162.27413497301757
2019-01-11,147.55,162.435693471397
2019-01-14,145.25,161.9581460441028
2019-01-15,145.8,164.38724024039524
2019-01-16,146.1,162.238680605546
2019-01-17,145.3,162.4870692284335
2019-01-18,144.35,162.58413798934808
2019-01-21,143.3,162.0961990721554
