Date,Price,Open,High,Low,Vol.,Change %,,
15-Jan-16,4273.30,4266.00,4338.00,4251.10,30.67K,0.56%,,
14-Jan-16,4249.65,4250.00,4284.85,4214.60,34.19K,-1.02%,,
13-Jan-16,4293.40,4292.00,4309.95,4223.05,38.04K,0.56%,,
12-Jan-16,4269.65,4299.00,4322.00,4261.50,25.85K,-0.23%,,
11-Jan-16,4279.45,4210.00,4298.00,4145.00,60.24K,1.51%,,
8-Jan-16,4215.65,4281.00,4325.80,4195.80,81.04K,-1.19%,,
7-Jan-16,4266.55,4464.00,4464.00,4252.00,82.75K,-4.75%,,
6-Jan-16,4479.55,4598.00,4600.00,4464.10,29.41K,-1.94%,,
5-Jan-16,4568.35,4581.00,4600.00,4556.55,21.86K,-0.33%,,
4-Jan-16,4583.40,4640.00,4656.30,4575.00,19.22K,-1.11%,,
1-Jan-16,4635.05,4630.50,4665.00,4606.55,45.95K,0.43%,,
31-Dec-15,4615.35,4587.00,4641.65,4567.15,72.81K,0.59%,,
30-Dec-15,4588.45,4639.00,4642.00,4578.05,18.18K,-1.08%,,
29-Dec-15,4638.60,4629.40,4655.90,4610.10,15.00K,0.07%,,
28-Dec-15,4635.35,4610.00,4640.00,4590.00,13.60K,0.89%,,
24-Dec-15,4594.40,4644.00,4644.00,4588.75,19.89K,-0.88%,,
23-Dec-15,4635.20,4617.10,4653.00,4617.10,20.00K,0.38%,,
22-Dec-15,4617.75,4635.00,4644.00,4535.05,18.45K,-0.47%,,
21-Dec-15,4639.60,4602.00,4656.20,4602.00,22.59K,0.42%,,
18-Dec-15,4620.25,4678.00,4701.00,4611.00,50.32K,-0.98%,,
17-Dec-15,4666.00,4640.00,4678.00,4574.05,48.58K,1.02%,,
16-Dec-15,4618.95,4650.00,4654.00,4603.00,34.33K,-0.04%,,
15-Dec-15,4620.60,4595.00,4636.00,4562.30,32.88K,1.11%,,
14-Dec-15,4569.80,4510.00,4580.00,4482.00,70.15K,1.97%,,
11-Dec-15,4481.40,4510.00,4530.00,4415.00,48.11K,-0.34%,,
10-Dec-15,4496.70,4488.00,4516.95,4408.00,37.74K,0.43%,,
9-Dec-15,4477.35,4520.00,4540.00,4460.00,28.97K,-1.45%,,
8-Dec-15,4543.25,4569.00,4578.95,4519.00,365.77K,-0.46%,,
7-Dec-15,4564.35,4620.00,4640.00,4554.50,26.12K,-0.91%,,
4-Dec-15,4606.20,4602.00,4630.65,4580.15,20.98K,-0.47%,,
3-Dec-15,4627.75,4617.20,4646.00,4602.40,34.03K,0.17%,,
2-Dec-15,4619.85,4605.25,4629.05,4555.65,39.76K,1.47%,,
1-Dec-15,4552.85,4614.00,4620.00,4532.00,83.07K,-0.52%,,
30-Nov-15,4576.70,4580.00,4697.10,4495.05,427.64K,-0.07%,,
27-Nov-15,4580.10,4625.00,4649.95,4561.15,50.92K,-0.68%,,
26-Nov-15,4611.40,4658.00,4658.00,4578.10,36.12K,-0.63%,,
24-Nov-15,4640.45,4700.00,4722.05,4620.10,50.37K,-2.04%,,
23-Nov-15,4737.15,4737.00,4789.00,4703.00,61.79K,-0.03%,,
20-Nov-15,4738.40,4652.00,4768.50,4633.85,77.53K,1.84%,,
19-Nov-15,4652.95,4558.00,4664.60,4558.00,51.95K,2.60%,,
18-Nov-15,4535.20,4630.05,4651.25,4521.65,39.98K,-2.05%,,
17-Nov-15,4630.05,4655.10,4673.95,4618.00,29.73K,-0.42%,,
16-Nov-15,4649.80,4610.00,4671.70,4573.85,54.24K,0.56%,,
13-Nov-15,4623.80,4715.00,4735.95,4600.00,67.17K,-2.59%,,
11-Nov-15,4746.50,4720.00,4760.00,4720.00,11.37K,0.66%,,
10-Nov-15,4715.40,4618.25,4728.00,4614.00,53.00K,1.68%,,
9-Nov-15,4637.60,4498.00,4656.00,4448.00,64.02K,2.54%,,
6-Nov-15,4522.90,4510.10,4535.00,4482.00,28.00K,-0.03%,,
5-Nov-15,4524.45,4510.00,4553.85,4500.00,29.80K,0.21%,,
4-Nov-15,4514.80,4494.00,4533.95,4455.00,54.00K,0.77%,,
3-Nov-15,4480.50,4510.25,4519.00,4460.00,26.51K,-0.33%,,
2-Nov-15,4495.35,4455.55,4525.00,4425.00,68.78K,1.05%,,
30-Oct-15,4448.65,4449.00,4467.00,4401.55,41.60K,0.13%,,
29-Oct-15,4442.85,4510.00,4514.00,4423.55,49.03K,-1.17%,,
28-Oct-15,4495.55,4525.00,4558.00,4470.40,125.10K,0.02%,,
27-Oct-15,4494.60,4405.00,4519.00,4378.00,131.23K,2.44%,,
26-Oct-15,4387.75,4406.00,4449.00,4380.00,40.60K,0.14%,,
23-Oct-15,4381.45,4474.00,4509.35,4373.05,60.92K,-2.05%,,
21-Oct-15,4473.10,4490.00,4526.00,4451.00,33.57K,-0.83%,,
20-Oct-15,4510.65,4460.10,4524.00,4442.10,65.90K,1.13%,,
19-Oct-15,4460.40,4470.00,4477.50,4411.00,47.95K,0.24%,,
16-Oct-15,4449.90,4400.00,4460.00,4385.60,55.11K,1.60%,,
15-Oct-15,4379.85,4264.95,4388.05,4258.00,97.03K,3.01%,,
14-Oct-15,4251.85,4275.35,4297.00,4245.00,28.16K,-0.55%,,
13-Oct-15,4275.35,4233.60,4286.25,4222.10,24.55K,1.02%,,
12-Oct-15,4232.20,4300.00,4322.90,4220.00,51.26K,-0.95%,,
9-Oct-15,4272.80,4399.00,4399.00,4261.10,74.85K,-1.87%,,
8-Oct-15,4354.15,4383.00,4406.05,4333.00,35.35K,-0.40%,,
7-Oct-15,4371.45,4355.00,4436.50,4352.30,49.58K,0.32%,,
6-Oct-15,4357.30,4455.00,4455.00,4345.00,64.49K,-1.32%,,
5-Oct-15,4415.45,4572.00,4572.00,4389.00,118.46K,-3.59%,,
1-Oct-15,4579.85,4719.95,4720.00,4567.00,66.89K,-2.33%,,
30-Sep-15,4689.30,4682.30,4762.90,4661.80,189.72K,0.31%,,
29-Sep-15,4674.75,4515.55,4741.30,4470.20,84.69K,3.12%,,
28-Sep-15,4533.10,4561.30,4612.50,4517.00,68.55K,-0.81%,,
24-Sep-15,4570.20,4500.75,4603.70,4486.15,45.11K,1.54%,,
23-Sep-15,4500.75,4465.00,4524.00,4423.00,173.01K,0.67%,,
22-Sep-15,4470.95,4517.85,4520.00,4432.00,321.74K,-0.47%,,
21-Sep-15,4491.85,4398.00,4520.00,4383.40,33.49K,2.00%,,
18-Sep-15,4403.65,4370.00,4477.90,4356.90,55.01K,1.09%,,
16-Sep-15,4356.35,4350.00,4370.95,4331.10,21.06K,0.59%,,
15-Sep-15,4330.95,4370.00,4415.70,4320.00,46.53K,0.25%,,
14-Sep-15,4320.15,4320.00,4345.00,4287.35,17.12K,0.06%,,
11-Sep-15,4317.45,4320.00,4358.40,4305.05,24.84K,0.37%,,
10-Sep-15,4301.55,4260.00,4320.00,4227.00,29.33K,0.05%,,
9-Sep-15,4299.60,4200.00,4309.90,4190.00,47.94K,3.81%,,
8-Sep-15,4141.80,4104.70,4155.00,4076.65,31.03K,1.71%,,
7-Sep-15,4072.05,4077.00,4131.20,4043.20,35.07K,0.07%,,
4-Sep-15,4069.20,4143.70,4146.45,4050.05,25.47K,-1.86%,,
3-Sep-15,4146.45,4039.00,4160.00,4039.00,42.54K,2.86%,,
2-Sep-15,4031.10,4068.00,4093.00,4010.10,36.08K,-0.67%,,
1-Sep-15,4058.10,4173.50,4202.50,4048.15,60.35K,-2.63%,,
31-Aug-15,4167.50,4220.00,4231.50,4144.00,31.66K,-0.89%,,
28-Aug-15,4204.95,4284.00,4290.35,4175.00,35.79K,0.12%,,
27-Aug-15,4200.05,4224.90,4266.00,4186.00,36.85K,-0.10%,,
26-Aug-15,4204.20,4207.40,4260.80,4119.00,50.14K,0.11%,,
