"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 16, 2017","277.20","290.65","290.65","276.05","1.89M","-4.73%"
"Apr 09, 2017","290.95","285.00","291.80","285.00","1.29M","2.47%"
"Apr 02, 2017","283.95","292.10","298.00","280.15","4.51M","-3.02%"
"Mar 26, 2017","292.80","294.70","295.00","289.35","3.03M","-1.76%"
"Mar 19, 2017","298.05","290.00","298.95","288.25","2.86M","2.86%"
"Mar 12, 2017","289.75","302.50","302.50","288.20","3.62M","-8.47%"
"Mar 05, 2017","316.55","322.85","327.95","315.60","2.18M","-1.59%"
"Feb 26, 2017","321.65","329.30","332.10","319.10","2.42M","-2.09%"
"Feb 19, 2017","328.50","317.00","332.00","314.30","1.44M","3.78%"
"Feb 12, 2017","316.55","319.00","322.75","311.35","1.19M","-2.53%"
"Feb 05, 2017","324.75","326.20","329.00","311.60","1.22M","-0.40%"
"Jan 29, 2017","326.05","317.00","326.70","304.00","1.37M","2.92%"
"Jan 22, 2017","316.80","305.00","319.90","302.40","803.86K","4.30%"
"Jan 15, 2017","303.75","319.00","320.00","302.50","1.43M","-3.51%"
"Jan 08, 2017","314.80","306.00","319.20","299.25","1.18M","2.96%"
"Jan 01, 2017","305.75","303.00","311.00","297.15","647.42K","1.92%"
"Dec 25, 2016","300.00","289.00","301.30","282.20","1.75M","4.13%"
"Dec 18, 2016","288.10","290.00","295.00","286.10","795.63K","-0.03%"
"Dec 11, 2016","288.20","307.00","309.75","287.15","1.46M","-6.18%"
"Dec 04, 2016","307.20","306.20","315.00","302.10","812.89K","0.36%"
"Nov 27, 2016","306.10","306.40","313.65","302.40","966.32K","0.66%"
"Nov 20, 2016","304.10","311.00","311.00","299.20","660.85K","-0.91%"
"Nov 13, 2016","306.90","325.00","328.60","301.75","1.40M","-5.31%"
"Nov 06, 2016","324.10","318.00","337.30","289.20","1.45M","2.73%"
"Oct 30, 2016","315.50","325.30","331.30","312.60","4.68M","-2.74%"
"Oct 23, 2016","324.40","313.00","326.80","313.00","989.83K","3.54%"
"Oct 16, 2016","313.30","315.00","319.00","309.55","2.72M","0.08%"
"Oct 09, 2016","313.05","320.00","321.65","312.20","566.28K","-1.91%"
"Oct 02, 2016","319.15","322.50","329.55","315.80","1.87M","-1.05%"
"Sep 25, 2016","322.55","329.10","337.20","317.20","1.35M","-1.89%"
"Sep 18, 2016","328.75","324.60","337.50","324.60","880.72K","1.15%"
"Sep 11, 2016","325.00","329.70","332.75","321.70","3.28M","-2.15%"
"Sep 04, 2016","332.15","332.50","335.00","325.35","1.05M","-0.11%"
"Aug 28, 2016","332.50","333.00","341.00","330.35","1.08M","-0.28%"
"Aug 21, 2016","333.45","330.00","337.90","329.60","4.98M","-0.22%"
"Aug 14, 2016","334.20","337.55","349.85","332.25","3.25M","-1.11%"
"Aug 07, 2016","337.95","329.40","340.00","327.90","1.19M","2.60%"
"Jul 31, 2016","329.40","330.00","331.50","320.90","1.12M","0.43%"
"Jul 24, 2016","328.00","330.00","334.50","324.05","611.28K","-0.76%"
"Jul 17, 2016","330.50","320.00","335.80","318.05","1.76M","3.39%"
"Jul 10, 2016","319.65","315.00","327.35","313.50","1.82M","2.57%"
"Jul 03, 2016","311.65","310.90","326.00","310.00","1.45M","0.50%"
"Jun 26, 2016","310.10","310.00","315.00","307.25","1.71M","-0.50%"
"Jun 19, 2016","311.65","311.00","318.80","305.55","1.52M","-0.54%"
"Jun 12, 2016","313.35","306.00","314.35","304.80","1.05M","2.02%"
"Jun 05, 2016","307.15","309.45","316.00","304.00","1.21M","-0.58%"
"May 29, 2016","308.95","287.90","312.00","287.90","6.07M","9.81%"
"May 22, 2016","281.35","280.00","284.50","277.90","1.23M","0.73%"
"May 15, 2016","279.30","281.45","285.40","278.10","4.14M","-0.78%"
"May 08, 2016","281.50","281.00","286.45","276.25","4.11M","-0.16%"
"May 01, 2016","281.95","288.00","289.00","272.65","2.28M","-1.79%"
"Apr 24, 2016","287.10","288.20","293.70","283.80","1.33M","-0.23%"
"Apr 17, 2016","287.75","277.45","288.90","274.45","1.54M","3.90%"
"Apr 10, 2016","276.95","280.40","282.50","272.05","2.75M","-1.27%"
"Apr 03, 2016","280.50","288.65","289.10","274.65","2.84M","-2.54%"
"Mar 27, 2016","287.80","298.50","299.00","286.10","1.30M","-3.29%"
"Mar 20, 2016","297.60","297.50","299.70","293.70","882.58K","-0.02%"
"Mar 13, 2016","297.65","292.90","299.00","292.35","1.92M","-6.71%"
"Mar 06, 2016","319.05","334.00","334.00","316.80","5.44M","-1.89%"
"Feb 28, 2016","325.20","314.00","327.35","306.55","2.38M","4.45%"
"Feb 21, 2016","311.35","313.10","315.95","293.00","1.78M","-0.38%"
"Feb 14, 2016","312.55","305.20","330.75","305.20","1.06M","2.98%"
"Feb 07, 2016","303.50","327.10","329.70","296.30","1.53M","-6.96%"
"Jan 31, 2016","326.20","320.50","336.80","311.80","1.50M","1.92%"
"Jan 24, 2016","320.05","302.00","324.00","298.15","1.85M","6.70%"
"Jan 17, 2016","299.95","318.00","322.80","286.90","1.77M","-5.74%"
"Jan 10, 2016","318.20","319.80","321.45","310.90","889.01K","-0.89%"
"Jan 03, 2016","321.05","333.50","337.00","317.00","852.23K","-3.85%"
"Dec 27, 2015","333.90","324.00","334.90","319.70","761.25K","3.57%"
"Dec 20, 2015","322.40","314.65","328.40","314.65","558.67K","1.85%"
"Dec 13, 2015","316.55","307.00","318.95","305.50","781.32K","2.89%"
"Dec 06, 2015","307.65","339.00","340.00","306.00","1.04M","-8.18%"
"Nov 29, 2015","335.05","335.50","346.50","329.55","1.15M","-0.36%"
"Nov 22, 2015","336.25","332.25","341.35","330.55","654.96K","0.87%"
"Nov 15, 2015","333.35","336.00","339.35","326.95","1.40M","-1.27%"
"Nov 08, 2015","337.65","338.00","341.40","323.90","988.67K","-1.17%"
"Nov 01, 2015","341.65","323.90","344.70","316.95","1.09M","6.80%"
"Oct 25, 2015","319.90","343.00","344.60","318.55","1.30M","-6.30%"
"Oct 18, 2015","341.40","339.00","343.50","333.60","717.14K","0.87%"
"Oct 11, 2015","338.45","337.90","343.40","331.80","794.38K","0.83%"
"Oct 04, 2015","335.65","330.90","349.00","323.85","1.47M","2.27%"
"Sep 27, 2015","328.20","320.30","330.55","300.75","6.60M","3.01%"
"Sep 20, 2015","318.60","343.10","344.30","316.10","1.25M","-7.13%"
"Sep 13, 2015","343.05","334.05","344.50","331.30","1.75M","2.76%"
"Sep 06, 2015","333.85","350.00","351.00","333.00","1.09M","-3.72%"
"Aug 30, 2015","346.75","357.00","367.75","338.00","1.27M","-2.98%"
"Aug 23, 2015","357.40","341.00","367.10","332.95","2.08M","2.49%"
"Aug 16, 2015","348.70","379.00","383.40","345.70","2.38M","-7.62%"
"Aug 09, 2015","377.45","417.70","419.00","363.00","2.78M","-9.17%"
"Aug 02, 2015","415.55","441.15","447.25","414.00","1.51M","-5.41%"
"Jul 26, 2015","439.30","425.00","442.00","417.20","1.44M","3.15%"
"Jul 19, 2015","425.90","432.90","436.95","423.90","1.21M","-0.92%"
"Jul 12, 2015","429.85","423.85","441.10","416.30","2.30M","2.43%"
"Jul 05, 2015","419.65","417.00","430.35","413.80","2.02M","0.60%"
"Jun 28, 2015","417.15","408.25","429.00","399.70","3.05M","1.61%"
"Jun 21, 2015","410.55","394.65","421.35","394.65","2.71M","4.19%"
"Jun 14, 2015","394.05","398.95","402.55","392.15","1.26M","-0.61%"
"Jun 07, 2015","396.45","406.20","413.50","394.00","2.43M","-2.26%"
"May 31, 2015","405.60","390.00","409.70","382.00","1.91M","3.65%"
"May 24, 2015","391.30","375.00","393.40","366.85","1.47M","4.43%"
"May 17, 2015","374.70","366.20","376.20","358.95","8.74M","2.34%"
"May 10, 2015","366.15","364.00","376.30","363.65","1.35M","0.72%"
"May 03, 2015","363.55","364.90","370.55","352.00","997.62K","0.15%"
