"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 21, 2014","3,330.95","3,360.05","3,424.00","3,321.15","90.58K","-0.75%"
"Dec 14, 2014","3,356.15","3,372.00","3,459.75","3,250.00","201.36K","-0.77%"
"Dec 07, 2014","3,382.15","3,410.00","3,434.00","3,290.00","105.10K","-0.69%"
"Nov 30, 2014","3,405.60","3,340.00","3,432.00","3,337.00","135.14K","2.08%"
"Nov 23, 2014","3,336.10","3,336.00","3,386.70","3,250.35","254.09K","-0.38%"
"Nov 16, 2014","3,348.80","3,338.85","3,389.10","3,308.05","101.31K","0.35%"
"Nov 09, 2014","3,337.25","3,280.00","3,397.60","3,270.00","104.15K","1.34%"
"Nov 02, 2014","3,293.05","3,330.00","3,330.00","3,250.10","84.74K","-1.36%"
"Oct 26, 2014","3,338.35","3,170.00","3,349.00","3,130.00","346.35K","5.49%"
"Oct 19, 2014","3,164.60","2,950.00","3,195.00","2,950.00","99.42K","7.53%"
"Oct 12, 2014","2,942.90","2,962.00","2,994.40","2,903.25","77.14K","-0.75%"
"Oct 05, 2014","2,965.15","2,990.00","3,015.00","2,928.15","109.06K","-0.13%"
"Sep 28, 2014","2,968.90","3,055.00","3,080.00","2,958.35","136.93K","-2.19%"
"Sep 21, 2014","3,035.25","3,082.00","3,110.00","2,964.00","174.64K","-1.61%"
"Sep 14, 2014","3,084.95","2,974.95","3,098.05","2,920.15","204.47K","3.83%"
"Sep 07, 2014","2,971.15","2,884.00","2,978.00","2,856.15","154.24K","3.01%"
"Aug 31, 2014","2,884.35","2,800.00","2,963.70","2,791.25","259.50K","3.59%"
"Aug 24, 2014","2,784.35","2,779.00","2,823.95","2,756.00","147.04K","1.06%"
"Aug 17, 2014","2,755.15","2,668.00","2,769.90","2,657.45","149.92K","3.26%"
"Aug 10, 2014","2,668.25","2,631.00","2,690.00","2,631.00","88.46K","1.90%"
"Aug 03, 2014","2,618.45","2,597.00","2,674.90","2,573.00","163.55K","1.22%"
"Jul 27, 2014","2,587.00","2,525.00","2,625.00","2,485.00","276.95K","3.21%"
"Jul 20, 2014","2,506.60","2,530.00","2,572.00","2,480.00","112.88K","-0.69%"
"Jul 13, 2014","2,524.00","2,510.00","2,589.90","2,494.00","137.98K","0.75%"
"Jul 06, 2014","2,505.20","2,648.00","2,661.65","2,475.00","231.27K","-5.21%"
"Jun 29, 2014","2,642.80","2,450.00","2,663.00","2,425.00","364.89K","7.88%"
"Jun 22, 2014","2,449.85","2,375.00","2,517.00","2,355.05","166.14K","3.32%"
"Jun 15, 2014","2,371.10","2,407.85","2,460.00","2,356.05","181.74K","-1.37%"
"Jun 08, 2014","2,404.00","2,415.00","2,495.00","2,388.35","243.98K","0.45%"
"Jun 01, 2014","2,393.30","2,280.10","2,426.00","2,272.45","257.97K","5.45%"
"May 25, 2014","2,269.50","2,401.00","2,505.30","2,255.00","269.20K","-4.84%"
"May 18, 2014","2,384.85","2,177.00","2,400.70","2,156.50","265.40K","10.69%"
"May 11, 2014","2,154.45","1,970.00","2,315.00","1,964.20","312.91K","9.22%"
"May 04, 2014","1,972.60","1,885.00","1,981.55","1,867.00","122.27K","4.62%"
"Apr 27, 2014","1,885.50","1,950.00","1,965.00","1,881.10","125.20K","-3.61%"
"Apr 20, 2014","1,956.05","1,955.00","2,007.60","1,918.50","230.46K","0.50%"
"Apr 13, 2014","1,946.30","1,929.70","1,963.00","1,906.05","72.99K","0.65%"
"Apr 06, 2014","1,933.75","1,899.00","1,969.00","1,873.00","271.75K","0.34%"
"Mar 30, 2014","1,927.15","1,933.00","1,979.55","1,918.10","351.30K","-0.25%"
"Mar 23, 2014","1,932.00","1,879.00","1,967.60","1,871.10","368.99K","3.44%"
"Mar 16, 2014","1,867.75","1,875.30","1,899.90","1,847.95","444.78K","7.52%"
"Mar 09, 2014","1,737.10","1,730.55","1,817.20","1,680.00","563.15K","0.07%"
"Mar 02, 2014","1,735.90","1,587.00","1,747.55","1,551.00","445.91K","9.43%"
"Feb 23, 2014","1,586.30","1,671.10","1,693.90","1,573.00","491.39K","-5.28%"
"Feb 16, 2014","1,674.65","1,649.00","1,733.90","1,638.50","408.92K","1.90%"
"Feb 09, 2014","1,643.35","1,673.70","1,700.85","1,615.90","326.06K","-1.32%"
"Feb 02, 2014","1,665.40","1,635.35","1,671.00","1,591.50","296.04K","1.84%"
"Jan 26, 2014","1,635.35","1,765.00","1,765.00","1,541.25","1.55M","-7.74%"
"Jan 19, 2014","1,772.55","1,775.00","1,818.00","1,767.00","196.12K","-0.26%"
"Jan 12, 2014","1,777.15","1,802.00","1,814.00","1,760.25","228.32K","-0.98%"
"Jan 05, 2014","1,794.70","1,801.05","1,864.00","1,787.10","599.15K","-0.21%"
"Dec 29, 2013","1,798.55","1,776.00","1,814.00","1,752.00","335.18K","1.30%"
"Dec 22, 2013","1,775.40","1,812.00","1,819.90","1,765.20","195.99K","-1.91%"
"Dec 15, 2013","1,809.95","1,693.00","1,829.90","1,676.00","583.54K","7.00%"
"Dec 08, 2013","1,691.60","1,725.00","1,777.80","1,685.00","448.96K","-0.38%"
"Dec 01, 2013","1,698.10","1,671.00","1,713.00","1,636.00","371.84K","1.23%"
"Nov 24, 2013","1,677.40","1,653.00","1,691.40","1,642.00","297.23K","2.29%"
"Nov 17, 2013","1,639.85","1,626.00","1,700.00","1,613.85","560.25K","1.95%"
"Nov 10, 2013","1,608.50","1,575.00","1,623.85","1,561.90","264.19K","1.94%"
"Nov 03, 2013","1,577.90","1,645.00","1,645.80","1,557.70","185.78K","-3.54%"
"Oct 27, 2013","1,635.80","1,510.00","1,658.95","1,504.80","838.10K","8.56%"
"Oct 20, 2013","1,506.75","1,470.00","1,548.90","1,470.00","325.11K","2.53%"
"Oct 13, 2013","1,469.60","1,463.20","1,478.00","1,411.00","185.15K","0.38%"
"Oct 06, 2013","1,464.05","1,427.00","1,469.30","1,387.70","276.17K","2.55%"
"Sep 29, 2013","1,427.65","1,368.00","1,432.95","1,341.80","331.30K","4.38%"
"Sep 22, 2013","1,367.80","1,459.00","1,459.00","1,363.00","270.84K","-6.70%"
"Sep 15, 2013","1,466.05","1,330.00","1,502.70","1,330.00","337.78K","11.01%"
"Sep 08, 2013","1,320.60","1,301.00","1,387.95","1,301.00","268.89K","2.35%"
"Sep 01, 2013","1,290.25","1,244.00","1,319.00","1,234.00","366.64K","3.71%"
"Aug 25, 2013","1,244.05","1,302.00","1,316.85","1,217.00","375.61K","-3.96%"
"Aug 18, 2013","1,295.35","1,320.00","1,335.00","1,234.00","411.79K","-2.22%"
"Aug 11, 2013","1,324.70","1,391.00","1,423.90","1,318.00","187.58K","-4.43%"
"Aug 04, 2013","1,386.10","1,350.00","1,390.00","1,298.10","183.17K","3.65%"
"Jul 28, 2013","1,337.30","1,390.00","1,390.00","1,292.10","258.67K","-2.75%"
"Jul 21, 2013","1,375.05","1,450.00","1,468.20","1,351.10","571.22K","-5.19%"
"Jul 14, 2013","1,450.30","1,453.25","1,465.00","1,402.00","303.85K","-0.17%"
"Jul 07, 2013","1,452.70","1,570.00","1,579.00","1,445.00","329.87K","-6.55%"
"Jun 30, 2013","1,554.50","1,537.35","1,624.00","1,515.00","273.29K","1.07%"
"Jun 23, 2013","1,538.00","1,550.00","1,572.75","1,502.50","337.66K","-1.09%"
