"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 26, 2017","202.95","211.80","211.85","202.20","40.00M","-3.91%"
"Nov 19, 2017","211.20","210.30","211.85","205.10","26.49M","1.25%"
"Nov 12, 2017","208.60","211.90","213.35","204.40","27.39M","-1.30%"
"Nov 05, 2017","211.35","210.75","213.30","205.00","27.54M","0.62%"
"Oct 29, 2017","210.05","211.95","220.50","208.65","42.49M","-0.80%"
"Oct 22, 2017","211.75","212.95","219.00","210.40","39.95M","0.52%"
"Oct 15, 2017","210.65","206.70","214.25","203.95","19.97M","2.43%"
"Oct 08, 2017","205.65","204.85","207.10","199.65","36.42M","0.44%"
"Oct 01, 2017","204.75","212.15","212.25","203.55","31.05M","-2.96%"
"Sep 24, 2017","211.00","209.00","213.85","205.00","29.77M","0.69%"
"Sep 17, 2017","209.55","212.50","217.35","208.10","18.00M","-1.39%"
"Sep 10, 2017","212.50","211.00","216.30","208.10","16.90M","-0.28%"
"Sep 03, 2017","213.10","216.60","219.25","212.40","16.07M","-1.57%"
"Aug 27, 2017","216.50","220.90","220.90","213.80","27.14M","-2.01%"
"Aug 20, 2017","220.95","224.00","224.95","217.65","12.74M","-0.90%"
"Aug 13, 2017","222.95","219.25","224.65","218.70","11.68M","1.85%"
"Aug 06, 2017","218.90","225.00","226.60","212.00","15.80M","-2.54%"
"Jul 30, 2017","224.60","214.65","226.00","214.65","32.59M","4.64%"
"Jul 23, 2017","214.65","213.25","219.10","212.05","26.52M","-0.30%"
"Jul 16, 2017","215.30","215.25","220.00","213.50","21.13M","0.05%"
"Jul 09, 2017","215.20","212.20","217.00","209.75","22.71M","2.75%"
"Jul 02, 2017","209.45","210.00","213.00","208.20","18.33M","-0.52%"
"Jun 25, 2017","210.55","206.00","211.05","201.50","16.53M","2.21%"
"Jun 18, 2017","206.00","210.00","215.00","200.00","42.68M","-1.88%"
"Jun 11, 2017","209.95","206.40","213.15","205.00","25.21M","1.33%"
"Jun 04, 2017","207.20","206.75","208.50","202.20","17.97M","0.53%"
"May 28, 2017","206.10","203.15","210.75","202.05","26.02M","1.93%"
"May 21, 2017","202.20","207.00","207.70","195.65","20.81M","-1.73%"
"May 14, 2017","205.75","208.90","211.75","204.10","20.65M","-0.24%"
"May 07, 2017","206.25","209.10","211.50","205.60","14.93M","-1.32%"
"Apr 30, 2017","209.00","208.85","213.80","204.50","19.08M","0.48%"
"Apr 23, 2017","208.00","206.50","210.15","204.10","21.89M","1.17%"
"Apr 16, 2017","205.60","199.95","213.50","199.00","38.07M","2.80%"
"Apr 09, 2017","200.00","195.05","201.60","194.35","16.29M","2.56%"
